Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
charcoal-satchel-bag,Charcoal satchel bag,"",RTW,,,Shoulder bags,true,Title,Default Title,,,,,TGF-05,0.0,shopify,0,continue,manual,44.99,74.99,true,false,'83110097,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Black-satchel-bag-quarter.jpg?v=1628073820,1,,false,,,,,,,,,,,,,,,,,kg,,,active
charcoal-satchel-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Black-satchel-bag-front.jpg?v=1628073820,2,,,,,,,,,,,,,,,,,,,,,,
charcoal-satchel-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Black-satchel-bag-back.jpg?v=1628073820,3,,,,,,,,,,,,,,,,,,,,,,
charcoal-satchel-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Black-satchel-bag-inside.jpg?v=1628073820,4,,,,,,,,,,,,,,,,,,,,,,
charcoal-satchel-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Black-satchel-bag-closeup_01.jpg?v=1628073820,5,,,,,,,,,,,,,,,,,,,,,,
yellow-arch-handbag,Yellow Arch Handbag,"",RTW,,,Handbags,true,Title,Default Title,,,,,KSHB-01,0.0,shopify,0,continue,manual,44.99,74.99,true,false,'82880721,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/yellow-quarter-arch-handbag-scaled.jpg?v=1628073815,1,,false,,,,,,,,,,,,,,,,,kg,,,active
yellow-arch-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/yellow-front-arch-handbag-scaled.jpg?v=1628073815,2,,,,,,,,,,,,,,,,,,,,,,
navy-blue-arch-handbag,Navy Blue Arch Handbag,"",RTW,,,Handbags,true,Title,Default Title,,,,,KSHB-02,0.0,shopify,0,continue,manual,44.99,74.99,true,false,'82847953,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/navy-blue-quarter-arch-handbag-scaled.jpg?v=1628073813,1,,false,,,,,,,,,,,,,,,,,kg,,,active
navy-blue-arch-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/navy-blue-front-arch-handbag-scaled.jpg?v=1628073813,2,,,,,,,,,,,,,,,,,,,,,,
brown-arch-handbag,Brown Arch Handbag,"",RTW,,,Handbags,true,Title,Default Title,,,,,KSHB-03,0.0,shopify,0,continue,manual,44.99,74.99,true,false,'82782417,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/brown-quarter-arch-handbag-scaled.jpg?v=1628073810,1,,false,,,,,,,,,,,,,,,,,kg,,,active
brown-arch-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/brown-front-arch-handbag-scaled.jpg?v=1628073810,2,,,,,,,,,,,,,,,,,,,,,,
black-arch-handbag,Black Arch Handbag,"",RTW,,,Handbags,true,Title,Default Title,,,,,KSHB-04,0.0,shopify,0,continue,manual,44.99,74.99,true,false,'82716881,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/black-quarter-arch-handbag-scaled.jpg?v=1628073808,1,,false,,,,,,,,,,,,,,,,,kg,,,active
black-arch-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/black-front-arch-handbag-scaled.jpg?v=1628073808,2,,,,,,,,,,,,,,,,,,,,,,
maroon-arch-handbag,Maroon Arch Handbag,"",RTW,,,Handbags,true,Title,Default Title,,,,,KSHB-05,0.0,shopify,0,continue,manual,44.99,74.99,true,false,'82684113,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/maroon-quarter-arch-handbag-scaled.jpg?v=1628073806,1,,false,,,,,,,,,,,,,,,,,kg,,,active
maroon-arch-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/maroon-front-arch-handbag-scaled.jpg?v=1628073806,2,,,,,,,,,,,,,,,,,,,,,,
pink-arch-handbag,Pink Arch Handbag,"",RTW,,,Handbags,true,Title,Default Title,,,,,KSHB-06,0.0,shopify,0,continue,manual,44.99,74.99,true,false,'82585809,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/pink-quarter-arch-handbag-scaled.jpg?v=1628073804,1,,false,,,,,,,,,,,,,,,,,kg,,,active
pink-arch-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/pink-front-arch-handbag-scaled.jpg?v=1628073804,2,,,,,,,,,,,,,,,,,,,,,,
black-saddle-bag,Black saddle bag,"",RTW,,,Cross-body bags,true,Title,Default Title,,,,,SDL-01,0.0,shopify,0,continue,manual,42.99,70.99,true,false,'82520273,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/black-saddle-bag-front-1.jpg?v=1628073802,1,,false,,,,,,,,,,,,,,,,,kg,,,active
black-saddle-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/black-saddle-bag-front2.jpg?v=1628073802,2,,,,,,,,,,,,,,,,,,,,,,
black-saddle-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/black-saddle-bag-quarter.jpg?v=1628073802,3,,,,,,,,,,,,,,,,,,,,,,
black-saddle-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/black-saddle-bag-back.jpg?v=1628073802,4,,,,,,,,,,,,,,,,,,,,,,
navy-blue-saddle-bag,Navy blue saddle bag,"",RTW,,,Cross-body bags,true,Title,Default Title,,,,,SDL-02,0.0,shopify,0,continue,manual,42.99,70.99,true,false,'82487505,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/blue-saddle-bag-front.jpg?v=1628073798,1,,false,,,,,,,,,,,,,,,,,kg,,,active
navy-blue-saddle-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/navy-blue-saddle-bag-front2.jpg?v=1628073798,2,,,,,,,,,,,,,,,,,,,,,,
navy-blue-saddle-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/navy-blue-saddle-bag-quarter.jpg?v=1628073798,3,,,,,,,,,,,,,,,,,,,,,,
navy-blue-saddle-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/navy-blue-saddle-bag-back.jpg?v=1628073798,4,,,,,,,,,,,,,,,,,,,,,,
brown-saddle-bag,Brown saddle bag,"",RTW,,,Cross-body bags,true,Title,Default Title,,,,,SDL-03,0.0,shopify,0,continue,manual,42.99,70.99,true,false,'82389201,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/brown-saddle-bag-front.jpg?v=1628073793,1,,false,,,,,,,,,,,,,,,,,kg,,,active
brown-saddle-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/brown-saddle-bag-front2.jpg?v=1628073793,2,,,,,,,,,,,,,,,,,,,,,,
brown-saddle-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/brown-saddle-bag-quarter.jpg?v=1628073793,3,,,,,,,,,,,,,,,,,,,,,,
brown-saddle-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/brown-saddle-bag-back.jpg?v=1628073793,4,,,,,,,,,,,,,,,,,,,,,,
maroon-saddle-bag,Maroon saddle bag,"",RTW,,,Cross-body bags,true,Title,Default Title,,,,,SDL-04,0.0,shopify,0,continue,manual,42.99,70.99,true,false,'81799377,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/maroon-saddle-bag-front.jpg?v=1628073789,1,,false,,,,,,,,,,,,,,,,,kg,,,active
maroon-saddle-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/maroon-saddle-bag-front2.jpg?v=1628073789,2,,,,,,,,,,,,,,,,,,,,,,
maroon-saddle-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/maroon-saddle-bag-quarter.jpg?v=1628073789,3,,,,,,,,,,,,,,,,,,,,,,
maroon-saddle-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/maroon-saddle-bag-back.jpg?v=1628073789,4,,,,,,,,,,,,,,,,,,,,,,
yellow-saddle-bag,Yellow saddle bag,"",RTW,,,Cross-body bags,true,Title,Default Title,,,,,SDL-05,0.0,shopify,0,continue,manual,42.99,70.99,true,false,'81733841,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/yellow-saddle-bag-front.jpg?v=1628073785,1,,false,,,,,,,,,,,,,,,,,kg,,,active
yellow-saddle-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/yellow-saddle-bag-front2.jpg?v=1628073785,2,,,,,,,,,,,,,,,,,,,,,,
yellow-saddle-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/yellow-saddle-bag-quarter.jpg?v=1628073786,3,,,,,,,,,,,,,,,,,,,,,,
yellow-saddle-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/yellow-saddle-bag-back.jpg?v=1628073786,4,,,,,,,,,,,,,,,,,,,,,,
color-blocking-saddle-bag,Color blocking saddle bag,"",RTW,,,Cross-body bags,true,Title,Default Title,,,,,SDL-06,0.0,shopify,0,continue,manual,42.99,70.99,true,false,'81602769,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/color-blocking-saddle-bag-front-1.jpg?v=1628073781,1,,false,,,,,,,,,,,,,,,,,kg,,,active
color-blocking-saddle-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/color-blocking-saddle-bag-front2.jpg?v=1628073781,2,,,,,,,,,,,,,,,,,,,,,,
color-blocking-saddle-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/color-blocking-saddle-bag-quarter.jpg?v=1628073781,3,,,,,,,,,,,,,,,,,,,,,,
color-blocking-saddle-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/color-blocking-saddle-bag-back.jpg?v=1628073781,4,,,,,,,,,,,,,,,,,,,,,,
red-tote-bag,Red tote bag,"",RTW,,,Shoulder bags,true,Title,Default Title,,,,,DCT-01,0.0,shopify,0,deny,manual,41.99,70.99,true,false,'81537233,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Red-tote-front.jpg?v=1628073777,1,,false,,,,,,,,,,,,,,,,,kg,,,active
red-tote-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Red-tote-inside.jpg?v=1628073777,2,,,,,,,,,,,,,,,,,,,,,,
red-tote-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Red-tote-inside-closeup.jpg?v=1628073777,3,,,,,,,,,,,,,,,,,,,,,,
red-tote-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Red-tote-bottom.jpg?v=1628073777,4,,,,,,,,,,,,,,,,,,,,,,
burgundy-tote-bag,Burgundy tote bag,"",RTW,,,Shoulder bags,true,Title,Default Title,,,,,DCT-02,0.0,shopify,0,deny,manual,41.99,70.99,true,false,'81471697,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Dark-brown-tote-front.jpg?v=1628073772,1,,false,,,,,,,,,,,,,,,,,kg,,,active
burgundy-tote-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Dark-brown-tote-inside.jpg?v=1628073772,2,,,,,,,,,,,,,,,,,,,,,,
burgundy-tote-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Dark-brown-tote-inside-closeup.jpg?v=1628073772,3,,,,,,,,,,,,,,,,,,,,,,
burgundy-tote-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Dark-brown-tote-bottom.jpg?v=1628073772,4,,,,,,,,,,,,,,,,,,,,,,
pink-tote-bag,Pink tote bag,"",RTW,,,Shoulder bags,true,Title,Default Title,,,,,DCT-03,0.0,shopify,0,deny,manual,41.99,70.99,true,false,'81406161,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Pink-tote-front.jpg?v=1628073768,1,,false,,,,,,,,,,,,,,,,,kg,,,active
pink-tote-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Pink-tote-inside.jpg?v=1628073768,2,,,,,,,,,,,,,,,,,,,,,,
pink-tote-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Pink-tote-inside-closeup.jpg?v=1628073768,3,,,,,,,,,,,,,,,,,,,,,,
pink-tote-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Pink-tote-bottom.jpg?v=1628073768,4,,,,,,,,,,,,,,,,,,,,,,
horse-brown-tote-bag,Horse brown tote bag,"",RTW,,,Shoulder bags,true,Title,Default Title,,,,,DCT-04,0.0,shopify,0,deny,manual,41.99,70.99,true,false,'81373393,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Horse-brown-tote-front.jpg?v=1628073765,1,,false,,,,,,,,,,,,,,,,,kg,,,active
horse-brown-tote-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Horse-brown-tote-inside.jpg?v=1628073765,2,,,,,,,,,,,,,,,,,,,,,,
horse-brown-tote-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Horse-brown-tote-inside-closeup.jpg?v=1628073765,3,,,,,,,,,,,,,,,,,,,,,,
horse-brown-tote-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Horse-brown-tote-bottom-1.jpg?v=1628073765,4,,,,,,,,,,,,,,,,,,,,,,
black-tote-bag,Black tote bag,"",RTW,,,Shoulder bags,true,Title,Default Title,,,,,DCT-05,0.0,shopify,0,deny,manual,41.99,70.99,true,false,'81275089,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Black-tote-front.jpg?v=1628073761,1,,false,,,,,,,,,,,,,,,,,kg,,,active
black-tote-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Black-tote-inside.jpg?v=1628073761,2,,,,,,,,,,,,,,,,,,,,,,
black-tote-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Black-tote-inside-closeup.jpg?v=1628073761,3,,,,,,,,,,,,,,,,,,,,,,
black-tote-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Black-tote-bottom.jpg?v=1628073761,4,,,,,,,,,,,,,,,,,,,,,,
black-front-pocket-handbag,Black front pocket handbag,"",RTW,,,Handbags,true,Title,Default Title,,,,,NDHB-01,0.0,shopify,0,deny,manual,43.99,71.99,true,false,'81209553,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Black-front-pocket-handbag-quarter.jpg?v=1628073756,1,,false,,,,,,,,,,,,,,,,,kg,,,active
black-front-pocket-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Black-front-pocket-handbag-front.jpg?v=1628073756,2,,,,,,,,,,,,,,,,,,,,,,
black-front-pocket-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Black-front-pocket-handbag-side.jpg?v=1628073756,3,,,,,,,,,,,,,,,,,,,,,,
black-front-pocket-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Black-front-pocket-handbag-inside.jpg?v=1628073756,4,,,,,,,,,,,,,,,,,,,,,,
chocolate-front-pocket-handbag,Chocolate front pocket handbag,"",RTW,,,Handbags,true,Title,Default Title,,,,,NDHB-02,0.0,shopify,0,deny,manual,43.99,71.99,true,false,'81111249,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Chocolate-front-pocket-handbag-quarter.jpg?v=1628073752,1,,false,,,,,,,,,,,,,,,,,kg,,,active
chocolate-front-pocket-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Chocolate-front-pocket-handbag-front.jpg?v=1628073752,2,,,,,,,,,,,,,,,,,,,,,,
chocolate-front-pocket-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Chocolate-front-pocket-handbag-side.jpg?v=1628073752,3,,,,,,,,,,,,,,,,,,,,,,
chocolate-front-pocket-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Chocolate-front-pocket-handbag-inside.jpg?v=1628073752,4,,,,,,,,,,,,,,,,,,,,,,
firebrick-front-pocket-handbag,Firebrick front pocket handbag,"",RTW,,,Handbags,true,Title,Default Title,,,,,NDHB-03,0.0,shopify,0,deny,manual,43.99,71.99,true,false,'81078481,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Firebrick-front-pocket-handbag-quarter.jpg?v=1628073748,1,,false,,,,,,,,,,,,,,,,,kg,,,active
firebrick-front-pocket-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Firebrick-front-pocket-handbag-front.jpg?v=1628073748,2,,,,,,,,,,,,,,,,,,,,,,
firebrick-front-pocket-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Firebrick-front-pocket-handbag-side.jpg?v=1628073748,3,,,,,,,,,,,,,,,,,,,,,,
firebrick-front-pocket-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Firebrick-front-pocket-handbag-inside.jpg?v=1628073748,4,,,,,,,,,,,,,,,,,,,,,,
gold-front-pocket-handbag,Gold front pocket handbag,"",RTW,,,Handbags,true,Title,Default Title,,,,,NDHB-04,0.0,shopify,0,deny,manual,43.99,71.99,true,false,'80980177,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Gold-front-pocket-handbag-quarter.jpg?v=1628073744,1,,false,,,,,,,,,,,,,,,,,kg,,,active
gold-front-pocket-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Gold-front-pocket-handbag-front.jpg?v=1628073744,2,,,,,,,,,,,,,,,,,,,,,,
gold-front-pocket-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Gold-front-pocket-handbag-side.jpg?v=1628073744,3,,,,,,,,,,,,,,,,,,,,,,
gold-front-pocket-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Gold-front-pocket-handbag-inside.jpg?v=1628073744,4,,,,,,,,,,,,,,,,,,,,,,
ivory-front-pocket-handbag,Ivory front pocket handbag,"",RTW,,,Handbags,true,Title,Default Title,,,,,NDHB-05,0.0,shopify,0,deny,manual,43.99,71.99,true,false,'80947409,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Ivory-front-pocket-handbag-quarter.jpg?v=1628073740,1,,false,,,,,,,,,,,,,,,,,kg,,,active
ivory-front-pocket-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Ivory-front-pocket-handbag-front.jpg?v=1628073740,2,,,,,,,,,,,,,,,,,,,,,,
ivory-front-pocket-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Ivory-front-pocket-handbag-side.jpg?v=1628073740,3,,,,,,,,,,,,,,,,,,,,,,
ivory-front-pocket-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Ivory-front-pocket-handbag-inside-1.jpg?v=1628073740,4,,,,,,,,,,,,,,,,,,,,,,
